,plural,male,female,title,male_eng,female_eng
0,Абаза,Абаза,Абаза,2,abaza,abaza
1,Абакумовы,Абакумов,Абакумова,1,abakumov,abakumova
2,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
3,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
4,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
5,Абамелики,Абамелики,Абамелики,5,abameliki,abameliki
6,Абамелик,Абамелик,Абамелик,5,abamelik,abamelik
7,Абиецкие,Абиецкий,Абиецкая,1,abietsky,abietskaya
8,Абиетский,Абиетский,Абиетская,1,abietsky,abietskaya
9,Абловы,Аблов,Аблова,6,ablov,ablova
10,Абрамовы,Абрамов,Абрамова,2,abramov,abramova
11,Абрамовичи-Барановские,Абрамович-Барановский,Абрамович-Барановская,2,abramovich-baranovsky,abramovich-baranovskaya
12,Абросимовы,Абросимов,Абросимова,3,abrosimov,abrosimova
13,Абулаевы,Абулаев,Абулаева,4,abulaev,abulaeva
14,Абуховские,Абуховский,Абуховская,2,abukhovsky,abukhovskaya
15,Авакаров,Авакаров,Авакарова,2,avakarov,avakarova
16,Аввакумовы,Аввакумов,Аввакумова,1,avvakumov,avvakumova
17,Авакумовы,Авакумов,Авакумова,1,avakumov,avakumova
18,Авдуловы,Авдулов,Авдулова,2,avdulov,avdulova
19,Авдуловы,Авдулов,Авдулова,6,avdulov,avdulova
20,Аверкиевы,Аверкиев,Аверкиева,2,averkiev,averkieva
21,Аверьяновы,Аверьянов,Аверьянова,2,averyanov,averyanova
22,Авловы,Авлов,Авлова,2,avlov,avlova
23,Аврамовы,Аврамов,Аврамова,2,avramov,avramova
24,Аврамовы,Аврамов,Аврамова,3,avramov,avramova
25,Агаповы,Агапов,Агапова,3,agapov,agapova
26,Агафоновы,Агафонов,Агафонова,3,agafonov,agafonova
27,Агеевы,Агеев,Агеева,3,ageev,ageeva
28,Агеевы,Агеев,Агеева,3,ageev,ageeva
29,Агеевы,Агеев,Агеева,3,ageev,ageeva
30,Агеевы,Агеев,Агеева,3,ageev,ageeva
31,Агентовы,Агентов,Агентова,2,agentov,agentova
32,Агентовы,Агентов,Агентова,3,agentov,agentova
33,Аграновские,Аграновский,Аграновская,3,agranovsky,agranovskaya
34,Агреневы,Агренев,Агренева,3,agrenev,agreneva
35,Адами,Адами,Адами,3,adami,adami
36,Адамс,Адамс,Адамс,3,adams,adams
37,Адлер,Адлер,Адлер,2,adler,adler
38,Адлерберг,Адлерберг,Адлерберг,5,adlerberg,adlerberg
39,Азанчевские,Азанчевский,Азанчевская,2,azanchevsky,azanchevskaya
40,Азанчевские,Азанчевский,Азанчевская,6,azanchevsky,azanchevskaya
41,Азанчевские-Азанчеевы,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva
42,Азанчеевы-Азанчевские,Азанчеев-Азанчевский,Азанчеева-Азанчевская,6,azancheev-azanchevsky,azancheeva-azanchevskaya
