plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt
Абаза,Абаза,Абаза,2,abaza,abaza,412,412
Абакумовы,Абакумов,Абакумова,1,abakumov,abakumova,7187,8511
Абамелики,Абамелики,Абамелики,5,abameliki,abameliki,-,-
Абамелик,Абамелик,Абамелик,5,abamelik,abamelik,2,2
Абиецкие,Абиецкий,Абиецкая,1,abietsky,abietskaya,-,-
Абловы,Аблов,Аблова,6,ablov,ablova,177,244
Абрамовы,Абрамов,Абрамова,2,abramov,abramova,81978,94995
Абрамовичи-Барановские,Абрамович-Барановский,Абрамович-Барановская,2,abramovich-baranovsky,abramovich-baranovskaya,-,-
Абросимовы,Абросимов,Абросимова,3,abrosimov,abrosimova,13839,14920
Абулаевы,Абулаев,Абулаева,4,abulaev,abulaeva,34,19
Абуховские,Абуховский,Абуховская,2,abukhovsky,abukhovskaya,12,8
Авакаров,Авакаров,Авакарова,2,avakarov,avakarova,-,-
Аввакумовы,Аввакумов,Аввакумова,1,avvakumov,avvakumova,2767,2856
Авакумовы,Авакумов,Авакумова,1,avakumov,avakumova,232,247
Авдуловы,Авдулов,Авдулова,2,avdulov,avdulova,239,202
Аверкиевы,Аверкиев,Аверкиева,2,averkiev,averkieva,2212,2586
Аверьяновы,Аверьянов,Аверьянова,2,averyanov,averyanova,12622,13126
Авловы,Авлов,Авлова,2,avlov,avlova,87,135
Аврамовы,Аврамов,Аврамова,2,avramov,avramova,1018,883
Агаповы,Агапов,Агапова,3,agapov,agapova,16612,19177
Агафоновы,Агафонов,Агафонова,3,agafonov,agafonova,33563,40067
Агеевы,Агеев,Агеева,3,ageev,ageeva,24003,26669
Агентовы,Агентов,Агентова,2,agentov,agentova,83,50
Аграновские,Аграновский,Аграновская,3,agranovsky,agranovskaya,104,155
Агреневы,Агренев,Агренева,3,agrenev,agreneva,10,1
Адами,Адами,Адами,3,adami,adami,16,16
Адамс,Адамс,Адамс,3,adams,adams,990,990
Адлер,Адлер,Адлер,2,adler,adler,1183,1183
Адлерберг,Адлерберг,Адлерберг,5,adlerberg,adlerberg,25,25
Азанчевские,Азанчевский,Азанчевская,2,azanchevsky,azanchevskaya,6,25
Азанчевские-Азанчеевы,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva,-,-
Азанчеевы-Азанчевские,Азанчеев-Азанчевский,Азанчеева-Азанчевская,6,azancheev-azanchevsky,azancheeva-azanchevskaya,-,-
Азаревичи,Азаревич,Азаревич,3,azarevich,azarevich,198,198
Азигильдовы,Азигильдов,Азигильдова,4,azigildov,azigildova,-,-
Айгустовы,Айгустов,Айгустова,2,aygustov,aygustova,63,3
Айдаровы,Айдаров,Айдарова,6,aydarov,aydarova,1535,1447
Акиловы,Акилов,Акилова,2,akilov,akilova,1007,971
Акимкины,Акимкин,Акимкина,3,akimkin,akimkina,1248,1333
Акимовы,Акимов,Акимова,2,akimov,akimova,36954,39193
Акинфовы,Акинфов,Акинфова,6,akinfov,akinfova,18,23
Акновы,Акнов,Акнова,3,aknov,aknova,2,2
Акповы,Акпов,Акпова,3,akpov,akpova,-,-
Аксаковы,Аксаков,Аксакова,2,aksakov,aksakova,457,454
Аксеновы,Аксенов,Аксенова,3,aksenov,aksenova,14218,16300
Аксиотис,Аксиотис,Аксиотис,3,aksiotis,aksiotis,12,12
